Time,HV Battery SOC (%),HV Battery Power (kW),HV Battery Current (A),G-Force (1),Vehicle Speed (km/hr) (km/hr)
00:00:03.0087,69.9999999817108,3.27705639496603e-05,9.63840116166479e-05,-0.000169093479052859,-0.00925781732792315
00:00:03.0106,69.9999999816847,2.69131331953555e-05,7.91562741039867e-05,-0.00013112531393369,-0.00926782701115015
00:00:03.0135,69.9999999816536,1.97805454695787e-05,5.81780749105255e-05,-7.99444823703611e-05,-0.00927853125115319
00:00:03.0183,69.9999999816178,1.11776218408656e-05,3.28753583554872e-05,-7.42220564542924e-06,-0.00928633798652424
00:00:03.0270,69.9999999815867,2.6630787065058e-06,7.83258443089941e-06,8.66189517395904e-05,-0.00927541163046895
00:00:03.0357,69.999999981582,-1.18111898891902e-06,-3.47387937917359e-06,0.000146414528754569,-0.00924058297653807
00:00:03.0444,69.99999998159,-2.95062508309703e-06,-8.67830906793243e-06,0.000183945224641821,-0.00919033585075604
00:00:03.0531,69.9999999816035,-3.78687482021166e-06,-1.11378671182696e-05,0.000207380638865525,-0.00913044747230881
00:00:03.0644,69.9999999816244,-4.26735144061757e-06,-1.25510336488752e-05,0.000225397493136767,-0.00904506589354316
00:00:03.0786,69.999999981653,-4.46450306892116e-06,-1.31308913791799e-05,0.000236745006696674,-0.00892948862249892
00:00:03.0958,69.9999999816886,-4.47182520120948e-06,-1.31524270623808e-05,0.000241669254206681,-0.00878424923389151
00:00:03.1167,69.9999999817311,-4.37071694016365e-06,-1.28550498240107e-05,0.000242139185836826,-0.00860661855626417
00:00:03.1430,69.9999999817833,-4.19810273486363e-06,-1.2347360984893e-05,0.000239955519373305,-0.00838289642691026
00:00:03.1788,69.9999999818508,-3.95134677666928e-06,-1.16216081666744e-05,0.000235947446647218,-0.00808218808746111
00:00:03.2323,69.9999999819443,-3.58815110063969e-06,-1.05533855901167e-05,0.000229891028962374,-0.00764190182553851
00:00:03.3225,69.9999999820819,-2.99794323052829e-06,-8.81748008978909e-06,0.000220131150057299,-0.00692515678233235
